participant,participant_id,piece,video,condition,audio_file,trim_start_s,trim_stop_s,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P27,27,2,2,sight_reading,P27_video2_IMG1268.mp3,1.86,64.97,63.10997732426304,G,minor,0.8064590667113875,1,2.7556846141815186,0.4142246842384338,0.3550915820524753,0.0606789179146289,117.45383522727272,0.0719761028885841,0.0444476343691349,794.8105681920478,3.0264628209043707,0.838109701904687
P27,27,3,3,self_selected,P27_video3_IMG1269.mp3,3.32,459.2,455.88,E,major,0.6383547893579267,0,3.1090283393859863,0.2124913185834884,0.2154831614759727,0.0377457216382026,112.34714673913044,0.0733725652098655,0.0461841933429241,613.3302994153049,1.4696850048258314,0.8380816910732684
P28,28,1,1,sight_reading,P28_video1_IMG1270.mp3,1.63,110.2,108.57002267573696,G,minor,0.8403603633475832,1,2.619626045227051,0.5298059582710266,0.3057142449998791,0.0385139472782611,78.30255681818181,0.0535651259124279,0.0434354878962039,650.9243456603257,1.4276500656441249,0.8160965807066783
P28,28,2,2,sight_reading,P28_video2_IMG1271.mp3,0.09,132.86,132.77002267573695,G,minor,0.7688109760676383,1,2.7667813301086426,0.5106690526008606,0.323088280138428,0.0499932318925857,123.046875,0.0609555914998054,0.0488782003521919,704.4969673761548,1.965805192618201,0.8205625587128391
P28,28,3,3,self_selected,P28_video3_IMG1272.mp3,1.46,130.75,129.28997732426305,G,major,0.8184403471450356,0,3.112200975418091,0.1918620020151138,0.4556778503062832,0.0404256880283355,95.703125,0.0840859860181808,0.0365284793078899,662.0823896840074,1.995514310849699,0.8131978963508588
P29,29,1,1,sight_reading,P29_video1_IMG1273.mp3,1.0,85.94,84.94,G,minor,0.8887125096064323,1,2.6186883449554443,0.5249139070510864,0.2927540082343637,0.0395345129072666,69.83741554054055,0.0527758449316024,0.038753043860197,698.4449849797026,1.624676242053214,0.7951978991163802
P29,29,2,2,sight_reading,P29_video2_IMG1274.mp3,0.05,60.35,60.2972335600907,G,minor,0.820892587775188,1,2.917256116867065,0.4196126461029053,0.3256826867003388,0.0610699653625488,123.046875,0.0622839145362377,0.0459360554814338,766.2642948167763,3.2173947052921505,0.795137444280702
P29,29,3,3,self_selected,P29_video3_IMG1275.mp3,1.74,124.04,122.3,G,major,0.8305947147422615,0,3.0601963996887207,0.1944465339183807,0.4097985321627426,0.0439580306410789,99.38401442307692,0.0848514586687088,0.0348381176590919,700.2170239141203,0.6950122649223222,0.8252636961191149
P2,2,1,1,sight_reading,P2_video1_IMG1195.mp3,7.66,109.88,102.22,G,minor,0.8754892259918796,1,2.6525092124938965,0.5630293488502502,0.2733708270862198,0.038217969238758,66.25600961538461,0.0502542816102504,0.0464690737426281,869.4843410658424,1.3108980630013696,0.8439156195843524
P2,2,2,2,sight_reading,P2_video2_IMG1196.mp3,0.58,85.36,84.78,G,minor,0.7760570555400427,1,2.913398265838623,0.5167098045349121,0.2891278684130161,0.052364632487297,198.76802884615384,0.0560457184910774,0.0522197745740413,1009.8840723191538,2.418023118660061,0.8247318596272699
P2,2,3,3,self_selected,P2_video3_IMG1197.mp3,1.0,37.15,36.14997732426304,C,major,0.942991353688044,0,3.053327798843384,0.1765069961547851,0.5723525319397729,0.0457985065877437,73.828125,0.0816224589943885,0.0412121787667274,668.1566486280171,3.955742453648005,0.805175503168487
P3,3,1,1,sight_reading,P3_video1_IMG1198.mp3,2.97,91.32,88.34997732426304,G,minor,0.8238392136686887,1,2.59951400756836,0.5616271495819092,0.2517563602057061,0.0430033951997756,75.99954044117646,0.0470674708485603,0.0436025485396385,844.4553741757392,1.5846070846874187,0.8594411007913079
P3,3,2,2,sight_reading,P3_video2_IMG1199.mp3,7.76,80.04,72.28,G,minor,0.7501267392337577,1,2.9421496391296387,0.4950042068958282,0.266009832801305,0.0597700104117393,123.046875,0.0596554055809974,0.0533704124391078,1010.1092163583515,2.6425013835085776,0.7923188659002919
