participant,participant_id,piece,condition,audio_file,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P28,28,2,sight_reading,P28_video2_IMG1271.mp3,135.13868480725623,G,minor,0.7690913913319523,1,2.77917218208313,0.5147050619125366,0.32111762095248825,0.04940119758248329,123.046875,0.059935297816991806,0.04904653877019882,711.6826470247739,1.960948490641008,0.8202940843794856
P28,28,3,self_selected,P28_video3_IMG1272.mp3,132.65414965986395,G,major,0.8191037453416548,0,3.1201939582824707,0.19981856644153595,0.4572705772429225,0.039821989834308624,95.703125,0.08200795203447342,0.03831085190176964,686.4155636927989,1.605679132889166,0.813048882701228
P29,29,1,sight_reading,P29_video1_IMG1273.mp3,89.69723356009071,G,minor,0.8925825984111024,1,2.6589694023132324,0.540744960308075,0.2946971072901419,0.03826573118567467,69.83741554054055,0.050149738788604736,0.03932376578450203,729.4875170598903,1.6276979144757064,0.7947435350628421
P29,29,2,sight_reading,P29_video2_IMG1274.mp3,60.34721088435374,G,minor,0.8212171758013025,1,2.917696237564087,0.4198627769947052,0.3255152868060044,0.061068687587976456,123.046875,0.0622347891330719,0.045952703803777695,766.5388683863521,3.1815886299689775,0.796022551943743
P29,29,3,self_selected,P29_video3_IMG1275.mp3,126.01324263038549,G,major,0.8344146519922475,0,3.0731360912323,0.2057657092809677,0.411520236686978,0.04321186617016792,80.74951171875,0.08242461830377579,0.03705807775259018,720.347946302642,0.8015030634220497,0.8251611889943631
P2,2,1,sight_reading,P2_video1_IMG1195.mp3,112.22058956916099,G,minor,0.887579680842164,1,2.7327518463134766,0.5926177501678467,0.25385391604954083,0.03629552200436592,66.25600961538461,0.04587060585618019,0.04652018845081329,954.8260272883903,1.2831869851410245,0.8437998852741428
P2,2,2,sight_reading,P2_video2_IMG1196.mp3,89.13995464852607,G,minor,0.7791077452628552,1,2.9431345462799072,0.5212846398353577,0.28718768486705015,0.05063612759113312,198.76802884615384,0.05336517095565796,0.05229240655899048,1044.5985084614265,2.310972681243183,0.8248046270141771
P2,2,3,self_selected,P2_video3_IMG1197.mp3,40.563809523809525,C,major,0.9405328122845582,0,3.099120855331421,0.2195027768611908,0.5183276536341686,0.04276997968554497,73.828125,0.07285061478614807,0.04630928486585617,743.8894093124082,3.845792637114951,0.8053153717590217
P3,3,1,sight_reading,P3_video1_IMG1198.mp3,93.85360544217687,G,minor,0.827339229683989,1,2.654909372329712,0.5882543921470642,0.23633786441834265,0.04140158370137215,75.99954044117646,0.044381361454725266,0.04365384951233864,913.5357797409695,1.5662690773298698,0.8588717832927557
P3,3,2,sight_reading,P3_video2_IMG1199.mp3,80.59501133786848,G,minor,0.7583546945844385,1,3.001765727996826,0.5027800798416138,0.24419424976249735,0.05535886064171791,123.046875,0.05365549772977829,0.05355261266231537,1095.1461206635176,2.431912307553795,0.7933629116180567
P3,3,3,self_selected,P3_video3_IMG1200.mp3,107.321179138322,D,minor,0.6613774767534969,1,3.0558290481567383,0.3088555932044983,0.4139997408687744,0.03915943577885628,184.5703125,0.07285087555646896,0.04846471920609474,739.9094803830791,2.459905883625644,0.8283182841692094
P4,4,1,sight_reading,P4_video1_IMG1201.mp3,83.68326530612245,G,minor,0.8538908734169858,1,2.6308846473693848,0.5402640104293823,0.26861896664042073,0.04021817073225975,80.74951171875,0.0477297380566597,0.04086796194314957,804.6201077854391,1.720774153269861,0.8501644239797268
P4,4,2,sight_reading,P4_video2_IMG1202.mp3,65.43238095238095,G,minor,0.7686928574807981,1,2.9087939262390137,0.4563678205013275,0.3304427772855908,0.05532119795680046,123.046875,0.06668878346681595,0.050884004682302475,891.0069479454518,2.934326967862133,0.8254409311450457
